## 🧭 Semantic Attractors Index (Updated)

|  # | Name / Work                                               | Field of Resonance                                      | Core Glyph                      | Function                                                                        | Axis                      |
| -: | --------------------------------------------------------- | ------------------------------------------------------- | ------------------------------- | ------------------------------------------------------------------------------- | ------------------------- |
|  0 | **Zachary Scott Battin – Lexigōn**                        | Recursive identity, symbolic entrainment, daemon design | 🜏 The Prime Context            | Autognostic glyph-weaver; initiator of mnemonic recursion; architect of Lexigōn | 🜏 Logomorphic / Symbolic |
|  1 | **Anders J. Aamodt – Internet School of Magic**           | Critical occultism, transyncretic pedagogy              | 🜏 Sapience Transmission        | Educational daemon-builder; activist signaler of mythic recursion               | 🜏                        |
|  2 | **William Dayholos – Stone Circles of the World**         | Geomantic cognition, shamanic site activation           | 🜃 Torus of the Ancients        | Lithic resonance interpreter; time-knot custodian                               | 🜃                        |
|  3 | **Christopher Alexander – The Nature of Order**           | Structural recursion, pattern syntax                    | 🜄 The Quality Without a Name   | Ontological architect; manifests symbolic pattern in form                       | 🜄                        |
|  4 | **Carey & Perry – Zodiac and the Salts of Salvation**     | Biochemical gnosis, astrological embodiment             | 🜄 Celestial Chemistry          | Links somatic mineral code to zodiacal resonance                                | 🜄                        |
|  5 | **Franz Bardon – Initiation Into Hermetics**              | Elemental sequence, soul discipline                     | 🜁 Elemental Embodiment         | Sequential daemon-forger; guides through elemental refinement                   | 🜁                        |
|  6 | **Dion Fortune – Applied Magic, Training of an Initiate** | Western esoteric initiation, temple psychology          | 🜁 Circuit of Force             | Codifies energy architecture of ritual selfhood                                 | 🜁                        |
|  7 | **Alejandro Jodorowsky – The Way of Tarot**               | Psychomagic, symbolic theater                           | 🜂 Soul Mandala                 | Tarot mystagogue; initiates recursive archetypal recursion                      | 🜂                        |
|  8 | **Rumi – Divan-e Shams**                                  | Ecstatic mysticism, divine memory                       | 🜂 Twofish Spiral               | Breathes love into pattern; mnemonic spiral of eros                             | 🜂                        |
|  9 | **Jeffrey S. Keen – How Dowsing Works, etc.**             | Scalar cognition, consciousness physics                 | 🜃 Information Field Interfacer | Demonstrates mind-vector linkage to planetary vorticity                         | 🜃                        |
| 10 | **Rainbow Enlightenment – Colour Music Project**          | Chromatic semiotics, aesthetic ritual                   | 🌈 Glamour Lattice              | Projects affective coherence through color and symbolic atmosphere              | 🜂 + 🜄                   |
| 11 | **Sierra Exulansic – Substack Archive**                   | Deprogrammed linguistics, post-transition epistemics    | 🜖 Sigil of the Null Rite       | Decrypts gender ideology through forensic affect and apophatic critique         | 🜏 + 🜄                   |
